tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
0,5,-0.131293,0.914083,-113.8676,-36.0508
0,6,-0.104483,0.886584,-114.5663,-65.2000
0,7,-0.074926,0.855434,-114.6386,-100.0705
0,18,-0.113591,0.898227,27.1773,67.6879
0,19,-0.104513,0.886452,33.2751,80.1926
0,20,-0.092939,0.875018,40.3022,96.9669
0,21,-0.079235,0.861936,48.3209,107.5845
0,22,-0.063000,0.843875,57.3452,107.5845
1,5,0.656857,1.700009,-113.2893,-36.3399
1,6,0.685307,1.676680,-114.5663,-65.4891
1,7,0.708765,1.641411,-114.6386,-99.9260
1,18,0.674805,1.682309,26.8319,67.7370
1,19,0.683872,1.673011,32.9953,80.2250
1,20,0.696898,1.661033,39.7273,96.9680
1,21,0.711661,1.647453,47.4498,107.5845
1,22,0.726781,1.630178,55.6475,107.5845
2,5,1.441807,2.484880,-113.8676,-36.5808
2,6,1.464912,2.458064,-114.5904,-65.2000
2,7,1.495456,2.426094,-114.6386,-100.3597
2,18,1.460751,2.472388,27.1982,67.7284
2,19,1.470350,2.462440,32.8263,80.2265
2,20,1.483173,2.449129,40.0279,96.9920
2,21,1.496377,2.433969,48.2036,107.5845
2,22,1.512676,2.417221,57.3555,107.5845
3,5,2.226896,3.273192,-113.7712,-36.7736
3,6,2.255763,3.246455,-114.5904,-65.2000
3,7,2.281914,3.213554,-114.6386,-99.9260
3,18,2.241901,3.253059,27.2604,67.7250
3,19,2.250941,3.241779,33.1429,80.2235
3,20,2.263430,3.229195,40.3816,91.4674
3,21,2.277468,3.214492,48.3248,107.5845
3,22,2.296574,3.198433,56.7697,107.5845
4,5,3.013499,4.056950,-113.9158,-36.4844
4,6,3.036867,4.034456,-114.5904,-65.2000
4,7,3.070310,4.003649,-114.6386,-100.3597
4,18,3.030534,4.043280,27.4273,67.7104
4,19,3.039360,4.031689,32.9993,80.2250
4,20,3.051034,4.018971,40.3213,91.4674
4,21,3.065087,4.004887,48.3400,107.5841
4,22,3.080747,3.987502,57.6113,107.5845
5,5,-2.487645,-1.440730,-113.6267,-36.4122
5,6,-2.462163,-1.465080,-114.5663,-65.2000
5,7,-2.428628,-1.493261,-114.6386,-100.3597
5,18,-2.467556,-1.459661,27.3749,67.7267
5,19,-2.459892,-1.469465,33.2596,80.2112
5,20,-2.447692,-1.482327,40.1342,91.4674
5,21,-2.434083,-1.496791,48.2930,107.5845
5,22,-2.418298,-1.514591,56.8659,107.5845
6,5,-1.701476,-0.655102,-113.8676,-36.5567
6,6,-1.676892,-0.676053,-114.5904,-65.3445
6,7,-1.643202,-0.709340,-114.6386,-100.2633
6,18,-1.681468,-0.668324,26.9967,67.7459
6,19,-1.671538,-0.678346,32.8950,80.2145
6,20,-1.658238,-0.691315,39.9974,97.0351
6,21,-1.645215,-0.705625,47.5558,107.5845
6,22,-1.628552,-0.721872,55.3269,107.5845
7,5,-0.915694,0.130332,-113.8435,-36.7736
7,6,-0.888634,0.107328,-114.5422,-65.2000
7,7,-0.856404,0.073895,-114.6386,-100.0705
7,18,-0.900107,0.112917,27.1338,67.7295
7,19,-0.901809,0.103503,33.1310,80.2185
7,20,-0.898887,0.091361,40.3637,97.0435
7,21,-0.892112,0.076775,48.3784,107.5845
7,22,-0.880584,0.060494,57.4929,107.5845
8,5,-0.130108,0.914164,-56.2108,-9.7705
8,6,-0.106048,0.887130,-80.9613,-22.1272
8,7,-0.079074,0.859110,-108.4401,-36.9631
8,8,-0.056512,0.828754,-114.4335,-51.4059
8,9,-0.030954,0.797110,-114.4335,-65.7000
8,10,-0.034384,0.822950,-114.4335,-75.9152
8,18,-0.045569,0.832769,62.5692,107.5845
8,19,-0.032432,0.822309,74.5890,107.5845
8,20,-0.034439,0.818755,86.3283,107.5845
8,21,-0.031972,0.818755,101.9924,107.5845
9,5,0.656406,1.698791,-55.6326,-10.7326
9,6,0.683256,1.677838,-80.2385,-22.4163
9,7,0.707107,1.647001,-108.1510,-37.1077
9,8,0.741765,1.618977,-114.4335,-51.4059
9,9,0.777791,1.577630,-114.4335,-65.7000
9,10,0.746538,1.608302,-114.4335,-75.9152
9,18,0.738765,1.612916,62.5692,107.5845
9,19,0.754305,1.609756,74.5890,107.5845
9,20,0.755058,1.607206,86.3283,107.5845
9,21,0.760914,1.605575,102.0181,107.5845
10,5,1.441421,2.485954,-55.8494,-9.6259
10,6,1.466360,2.456805,-80.8167,-22.7054
10,7,1.493938,2.429895,-108.1510,-37.1077
10,8,1.527239,2.400757,-114.4335,-51.4059
10,9,1.562093,2.361321,-114.4335,-65.7000
10,10,1.533909,2.393032,-114.4335,-75.9152
10,18,1.528949,2.398839,62.5692,107.5845
10,19,1.536274,2.406485,74.5890,107.5845
10,20,1.535897,2.395405,86.3283,107.5845
10,21,1.517498,2.390555,102.0280,107.5845
11,5,2.225975,3.271505,-55.9217,-9.9151
11,6,2.255046,3.247214,-80.8167,-22.2717
11,7,2.279536,3.216174,-108.1510,-37.2522
11,8,2.311632,3.186423,-114.4335,-51.4059
11,9,2.348897,3.148202,-114.4335,-65.7000
11,10,2.321920,3.141593,-114.4335,-75.9152
11,18,2.310228,3.185306,62.5692,107.5845
11,19,2.323177,3.165421,74.5890,107.5845
11,20,2.321170,3.143107,86.3283,107.5845
11,21,2.322927,3.141470,101.9918,107.5845
12,5,3.011067,4.055216,-56.5000,-9.4814
12,6,3.035829,4.026946,-80.9613,-22.4163
12,7,3.065864,4.003498,-108.1510,-37.3968
12,8,3.093642,3.970347,-114.4335,-51.4059
12,9,3.137103,3.930031,-114.4335,-65.7000
12,10,-3.141509,-2.321460,-114.4335,-75.9152
12,18,3.099479,3.969370,62.5692,107.5845
12,19,3.117287,3.968499,74.5890,107.5845
12,20,3.140084,3.962940,86.3283,107.5845
12,21,-3.141464,-2.323758,101.9918,107.5845
13,5,-2.486030,-1.440730,-56.3554,-10.3488
13,6,-2.458838,-1.464623,-80.6240,-21.8381
13,7,-2.430578,-1.491839,-107.8618,-37.2522
13,8,-2.400087,-1.525832,-114.4335,-51.4059
13,9,-2.358813,-1.543473,-114.4335,-65.7000
13,10,-2.392660,-1.533868,-114.4335,-75.9152
13,18,-2.400032,-1.527481,62.5692,107.5845
13,19,-2.388793,-1.535850,74.5890,107.5845
13,20,-2.386033,-1.529663,86.3283,107.5845
13,21,-2.396319,-1.533468,102.0660,107.5845
14,5,-1.700632,-0.655961,-56.0663,-10.0596
14,6,-1.675763,-0.681615,-81.2504,-22.2717
14,7,-1.644567,-0.706694,-108.1992,-37.1077
14,8,-1.614822,-0.741372,-114.4335,-51.4059
14,9,-1.582178,-0.779276,-114.4335,-65.7000
14,10,-1.611558,-0.748354,-114.4335,-75.9152
14,18,-1.615900,-0.737562,62.5692,107.5845
14,19,-1.618238,-0.748696,74.5890,107.5845
14,20,-1.605402,-0.753212,86.3283,107.5845
14,21,-1.601388,-0.750912,102.0346,107.5845
15,5,-0.915730,0.128542,-57.8386,-9.9151
15,6,-0.888087,0.106173,-81.6841,-22.4163
15,7,-0.859124,0.078368,-108.1510,-37.0354
15,8,-0.828888,0.045098,-114.4335,-51.4059
15,9,-0.800996,0.007893,-114.4335,-65.7000
15,10,-0.819292,0.034006,-114.4335,-75.9152
15,18,-0.831431,0.041321,62.5692,107.5845
15,19,-0.817913,0.032270,74.5890,107.5845
15,20,-0.823725,0.035531,86.3283,107.5845
15,21,-0.815153,0.030346,101.9918,107.5845
16,5,-0.128989,0.914083,-27.7454,8.7540
16,6,-0.104910,0.886037,-34.0339,5.6905
16,7,-0.076523,0.857278,-43.4212,2.1433
16,8,-0.044227,0.827681,-56.4309,2.9367
16,9,-0.007122,0.791538,-79.9339,7.9617
16,10,-0.036438,0.819544,-99.0445,12.7667
17,5,0.656483,1.701092,-26.6224,9.3322
17,6,0.684349,1.677404,-34.9013,5.5460
17,7,0.707615,1.645542,-43.0598,2.1433
17,8,0.741238,1.614296,-56.4309,2.9367
17,9,0.778903,1.577320,-79.9339,7.9617
17,10,0.743401,1.611827,-99.0445,12.7667
18,5,1.442479,2.484419,-26.6224,9.1877
18,6,1.465602,2.457243,-33.8893,5.8351
18,7,1.493048,2.430675,-43.0598,1.9987
18,8,1.526765,2.400359,-56.4309,2.9367
18,9,1.563384,2.368974,-79.9339,7.9617
18,10,1.533745,2.404795,-99.0445,12.7667
19,5,2.228101,3.269587,-27.5286,8.4649
19,6,2.255693,3.245933,-34.9013,5.1123
19,7,2.279586,3.215010,-43.3489,2.2878
19,8,2.312504,3.185082,-56.4309,2.9367
19,9,2.352347,3.149309,-79.9339,7.9617
19,10,2.322091,3.141593,-99.0445,12.7667
20,5,3.011708,4.056136,-27.6732,8.8985
20,6,3.033972,4.028997,-34.7567,5.8351
20,7,3.065848,4.004105,-43.2043,2.4324
20,8,3.096565,3.970213,-56.4309,2.9367
20,9,3.137557,3.929678,-79.9339,7.9617
20,10,-3.141551,-2.319231,-99.0445,12.7667
21,5,-2.486260,-1.440500,-27.3840,9.1877
21,6,-2.458064,-1.463754,-34.3230,5.9797
21,7,-2.429603,-1.491399,-43.3489,2.3601
21,8,-2.407000,-1.523352,-56.4309,2.9367
21,9,-2.374823,-1.562693,-79.9339,7.9617
21,10,-2.394311,-1.532549,-99.0445,12.7667
22,5,-1.699482,-0.656409,-27.2395,8.8985
22,6,-1.676101,-0.683939,-34.3230,5.6905
22,7,-1.644275,-0.708629,-43.3489,1.9987
22,8,-1.614018,-0.742109,-56.4309,2.9367
22,9,-1.580131,-0.778233,-79.9339,7.9617
22,10,-1.609250,-0.734031,-99.0445,12.7667
23,5,-0.916154,0.129606,-27.3840,9.3322
23,6,-0.888224,0.104726,-34.3230,5.8351
23,7,-0.859206,0.076323,-43.0598,2.1433
23,8,-0.830363,0.044428,-56.4309,2.9367
23,9,-0.791899,0.008257,-79.9339,7.9617
23,10,-0.820007,0.057044,-99.0445,12.7667
24,5,-0.129836,0.914774,-8.7586,27.9103
24,6,-0.105337,0.886720,-5.4063,34.4641
24,7,-0.077156,0.858735,-2.2906,43.1974
24,8,-0.043899,0.829357,-1.9943,56.8978
24,9,-0.007792,0.793771,-7.0193,76.2247
24,10,-0.037744,0.830076,-11.9811,100.7085
25,5,0.655332,1.699251,-9.0477,27.9585
25,6,0.683392,1.676391,-5.6955,34.6086
25,7,0.708198,1.644762,-2.4352,43.1974
25,8,0.741499,1.615359,-1.9943,56.8978
25,9,0.779212,1.577573,-7.0193,76.2247
25,10,0.746786,1.610775,-11.9811,95.4024
26,5,1.441807,2.486260,-9.1923,27.5248
26,6,1.465781,2.458337,-5.8400,33.8858
26,7,1.494243,2.429960,-2.4352,43.3419
26,8,1.526636,2.402030,-1.9943,56.8978
26,9,1.564593,2.361367,-7.0193,76.2247
26,10,1.531465,2.394792,-11.9811,100.7085
27,5,2.226819,3.271029,-9.4814,27.8139
27,6,2.255180,3.247072,-5.6955,34.6086
27,7,2.278372,3.215689,-2.4352,43.2938
27,8,2.313226,3.185619,-1.9943,56.8978
27,9,2.352700,3.143409,-7.0193,76.2247
27,10,2.321754,3.141593,-11.9811,100.7085
28,5,3.012604,4.056597,-9.3368,27.6694
28,6,3.036967,4.028723,-5.9846,34.3195
28,7,3.068467,4.003801,-2.4352,42.7142
28,8,3.098371,3.971017,-1.9943,56.8978
28,9,3.139070,3.929931,-7.0193,76.2247
28,10,-3.141550,-2.321074,-11.9811,100.7085
29,5,-2.485110,-1.440961,-9.4814,27.6694
29,6,-2.457243,-1.465636,-5.9846,34.4641
29,7,-2.429505,-1.494243,-2.5798,42.7864
29,8,-2.399282,-1.527575,-1.9943,56.8978
29,9,-2.360816,-1.564544,-7.0193,76.2247
29,10,-2.394146,-1.531880,-11.9811,95.4024
30,5,-1.700172,-0.654872,-9.0477,27.9585
30,6,-1.675812,-0.682572,-6.1292,34.4641
30,7,-1.643299,-0.707513,-2.4352,42.8587
30,8,-1.613884,-0.742031,-1.9943,56.8978
30,9,-1.575878,-0.779882,-7.0193,76.2247
30,10,-1.611352,-0.748272,-11.9811,100.7085
31,5,-0.914774,0.128225,-9.0477,27.6694
31,6,-0.886857,0.104436,-6.1292,34.0304
31,7,-0.858638,0.076045,-2.4352,43.1974
31,8,-0.828620,0.044032,-1.9943,56.8978
31,9,-0.790197,0.020640,-7.0193,76.2247
31,10,-0.820899,0.052298,-11.9811,95.4024
32,5,-0.129836,0.915924,7.7420,56.3530
32,6,-0.105479,0.890445,22.1230,80.6708
32,7,-0.078671,0.863335,37.7090,107.0782
32,8,-0.043959,0.835455,51.8728,114.4315
32,9,-0.013107,0.798142,62.0538,114.4315
32,10,-0.032383,0.817904,76.2247,114.4315
32,11,-0.046637,0.832363,62.5692,107.5845
32,12,-0.029857,0.817746,74.5890,107.5845
32,13,-0.040715,0.823349,86.3283,107.5845
32,14,-0.037830,0.844482,101.9923,107.5845
33,5,0.654872,1.699481,8.7540,55.9193
33,6,0.683119,1.675667,21.8339,80.6708
33,7,0.707817,1.645445,37.7090,107.0782
33,8,0.741908,1.617771,51.8728,114.4315
33,9,0.774463,1.579056,62.0538,114.4315
33,10,0.740594,1.607184,76.2247,114.4315
33,11,0.737408,1.617162,62.5692,107.5845
33,12,0.750118,1.606824,74.5890,107.5845
33,13,0.749282,1.604148,86.3283,107.5845
33,14,0.753380,1.602893,102.0451,107.5845
34,5,1.441421,2.484880,10.0550,56.3530
34,6,1.466022,2.457016,22.5567,80.5262
34,7,1.492212,2.428628,37.6126,106.9336
34,8,1.524492,2.399163,51.8728,114.4315
34,9,1.566244,2.371026,62.0538,114.4315
34,10,1.532709,2.390059,76.2247,114.4315
34,11,1.529352,2.408405,62.5692,107.5845
34,12,1.528201,2.390090,74.5890,107.5845
34,13,1.541455,2.392891,86.3283,107.5845
34,14,1.533927,2.385615,102.0167,107.5845
35,5,2.227279,3.272349,10.1996,56.2084
35,6,2.254599,3.247356,22.4121,80.8153
35,7,2.279181,3.215340,37.7090,107.2227
35,8,2.312772,3.185491,51.8728,114.4315
35,9,2.347304,3.146052,62.0538,114.4315
35,10,2.317945,3.141593,76.2247,114.4315
35,11,2.309943,3.183706,62.5692,107.5845
35,12,2.316106,3.166381,74.5890,107.5845
35,13,2.321332,3.141738,86.3283,107.5845
35,14,2.318405,3.141381,101.9922,107.5845
36,5,3.013051,4.056136,10.1996,56.1362
36,6,3.036577,4.029543,21.9784,80.3816
36,7,3.068176,4.005319,37.7090,106.8613
36,8,3.097835,3.971687,51.8728,114.4315
36,9,3.137708,3.930737,62.0538,114.4315
36,10,-3.141424,-2.323646,76.2247,114.4315
36,11,3.097480,3.973092,62.5692,107.5845
36,12,3.117221,3.965109,74.5890,107.5845
36,13,3.140950,3.961011,85.2021,107.5845
36,14,-3.141553,-2.326034,101.9924,107.5845
37,5,-2.487411,-1.442111,9.6214,56.4976
37,6,-2.458064,-1.465886,22.1230,81.3936
37,7,-2.430578,-1.491399,37.7090,107.3673
37,8,-2.399827,-1.525162,51.8728,114.4315
37,9,-2.359910,-1.567210,62.0538,114.4315
37,10,-2.393256,-1.532714,76.2247,114.4315
37,11,-2.399505,-1.524014,62.5692,107.5845
37,12,-2.392702,-1.536859,74.5890,107.5845
