tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
0,5,-0.194008,0.984787,-113.7712,-36.0508
0,6,-0.154055,0.943920,-114.5422,-65.2000
0,7,-0.114391,0.897082,-114.6386,-100.0705
0,18,-0.170643,0.958599,27.1773,67.7001
0,19,-0.156917,0.943030,33.2693,80.1926
0,20,-0.136791,0.925665,40.3024,96.9669
0,21,-0.113325,0.902821,48.3139,107.5845
0,22,-0.084236,0.877810,57.4546,107.5845
1,5,0.589510,1.767560,-113.4339,-36.7736
1,6,0.622094,1.725534,-114.5663,-65.3449
1,7,0.671845,1.683515,-114.6386,-99.9260
1,18,0.621815,1.748779,27.1845,67.7278
1,19,0.634199,1.735827,33.2920,80.2250
1,20,0.652281,1.723060,39.9993,91.4674
1,21,0.673771,1.704995,46.5708,107.5845
1,22,0.698090,1.678116,55.0576,107.5845
2,5,1.375346,2.552079,-113.8676,-37.4241
2,6,1.415375,2.518145,-114.5904,-65.2723
2,7,1.454121,2.459656,-114.6386,-100.3597
2,18,1.399179,2.525532,27.1982,67.7409
2,19,1.412494,2.509496,32.8263,80.2088
2,20,1.429352,2.492189,40.0279,96.9920
2,21,1.451198,2.470464,47.4774,107.5845
2,22,1.475314,2.445861,55.7336,107.5845
3,5,2.160310,3.338378,-113.7230,-36.3399
3,6,2.193468,3.295524,-114.5663,-65.2000
3,7,2.239568,3.259054,-114.6386,-99.6368
3,18,2.185683,3.323299,27.2604,67.7250
3,19,2.197135,3.317215,32.8861,80.2190
3,20,2.212760,3.305597,36.7501,91.4670
3,21,2.232851,3.284215,48.3087,107.5843
3,22,2.257436,3.263174,56.7697,107.5845
4,5,2.944807,4.122441,-113.7712,-37.2795
4,6,2.982893,4.087251,-114.5663,-65.2000
4,7,3.018380,4.050371,-114.6386,-100.4319
4,18,2.974187,4.093320,27.4273,67.7388
4,19,2.988608,4.078787,32.9993,80.2055
4,20,3.008674,4.061142,40.2783,91.4674
4,21,3.032282,4.039594,47.7367,107.5841
4,22,3.060660,4.011354,56.6166,107.5845
5,5,-2.549602,-1.375857,-113.6267,-36.4122
5,6,-2.515875,-1.415785,-114.5663,-65.2000
5,7,-2.462673,-1.456723,-114.6386,-100.0705
5,18,-2.521596,-1.363629,27.3749,67.7267
5,19,-2.507277,-1.382368,33.2596,80.1813
5,20,-2.491842,-1.402770,40.1746,91.4674
5,21,-2.466997,-1.429234,48.2943,107.5845
5,22,-2.441989,-1.463690,56.8532,107.5845
6,5,-1.767207,-0.589291,-113.8194,-36.5567
6,6,-1.729360,-0.626232,-114.5663,-65.3445
6,7,-1.683775,-0.665780,-114.6386,-100.2633
6,18,-1.741401,-0.614124,27.2037,67.6956
6,19,-1.724277,-0.625476,33.2109,80.2145
6,20,-1.705149,-0.642909,39.9974,91.4670
6,21,-1.680818,-0.664948,47.5558,107.5845
6,22,-1.655030,-0.693992,55.3269,107.5845
7,5,-0.981651,0.197460,-113.8435,-37.4000
7,6,-0.943853,0.154916,-114.5422,-65.2000
7,7,-0.893638,0.111577,-114.6386,-100.3597
7,18,-0.949629,0.169031,27.3751,67.7411
7,19,-0.934978,0.155634,33.4225,80.1902
7,20,-0.918415,0.137134,40.3405,91.4674
7,21,-0.897307,0.115246,46.9813,107.5845
7,22,-0.871683,0.087978,54.7479,107.5845
8,5,-0.195012,0.980629,-56.5000,-7.9635
8,6,-0.156514,0.945988,-80.8649,-22.1272
8,7,-0.112427,0.899616,-108.5847,-36.9631
8,8,-0.066988,0.851459,-114.4335,-51.4059
8,9,-0.009341,0.796078,-114.4335,-65.7000
8,10,-0.058860,0.838214,-114.4335,-75.9152
8,18,-0.068614,0.854537,62.5692,107.5845
8,19,-0.054386,0.850754,74.5890,107.5845
8,20,-0.052001,0.834476,86.3283,107.5845
8,21,-0.048947,0.836526,101.9918,107.5845
9,5,0.588163,1.766231,-55.8735,-10.7326
9,6,0.623954,1.723350,-79.9012,-22.1272
9,7,0.665073,1.681630,-108.1510,-37.0595
9,8,0.717946,1.636916,-114.4335,-51.4059
9,9,0.774676,1.579329,-114.4335,-65.7000
9,10,0.727716,1.620766,-114.4335,-75.9152
9,18,0.716464,1.639682,62.5692,107.5845
9,19,0.728418,1.620501,74.5890,107.5845
9,20,0.736033,1.625773,86.3283,107.5845
9,21,0.736995,1.632468,102.0219,107.5845
10,5,1.375136,2.552739,-56.0663,-9.6259
10,6,1.417014,2.518446,-80.3830,-22.5609
10,7,1.454616,2.473191,-108.1510,-37.1077
10,8,1.504610,2.423384,-114.4335,-51.4059
10,9,1.562093,2.361321,-114.4335,-65.7000
10,10,1.517634,2.410492,-114.4335,-75.9152
10,18,1.506246,2.420940,62.5692,107.5845
10,19,1.514109,2.414435,74.5890,107.5845
10,20,1.517917,2.404603,86.3283,107.5845
10,21,1.517498,2.408200,102.0667,107.5845
11,5,2.162337,3.340325,-55.9217,-9.6259
11,6,2.197238,3.299689,-80.3830,-22.3440
11,7,2.237808,3.263052,-108.0064,-36.6740
11,8,2.290075,3.207846,-114.4335,-51.4059
11,9,2.334267,3.148202,-114.4335,-65.7000
11,10,2.301234,3.141593,-114.4335,-75.9152
11,18,2.288526,3.205700,62.5692,107.5845
11,19,2.301432,3.175307,74.5890,107.5845
11,20,2.303399,3.144254,86.3283,107.5845
11,21,2.298043,3.141470,101.9918,107.5845
12,5,2.947735,4.126598,-56.5000,-10.0596
12,6,2.986991,4.094936,-80.9613,-22.8018
12,7,3.025030,4.051742,-108.1510,-37.6859
12,8,3.075400,3.996345,-114.4335,-51.4059
12,9,3.134477,3.933688,-114.4335,-65.7000
12,10,-3.141509,-2.306280,-114.4335,-75.9152
12,18,3.074656,3.997235,62.5692,107.5845
12,19,3.106618,3.980419,69.6345,107.5845
12,20,3.139724,3.978202,86.3283,107.5845
12,21,-3.141464,-2.307840,101.9918,107.5845
13,5,-2.551645,-1.376003,-55.6326,-10.3488
13,6,-2.516073,-1.415239,-80.0939,-21.8381
13,7,-2.467379,-1.450264,-107.9100,-37.2522
13,8,-2.422648,-1.502805,-114.4335,-51.4059
13,9,-2.360212,-1.543473,-114.4335,-60.6750
13,10,-2.409901,-1.513390,-114.4335,-75.9152
13,18,-2.423198,-1.506646,62.5692,107.5845
13,19,-2.404723,-1.520004,74.5890,107.5845
13,20,-2.406773,-1.518163,86.3283,107.5845
13,21,-2.408656,-1.524186,102.0096,107.5845
14,5,-1.768032,-0.588388,-55.9699,-10.2042
14,6,-1.725398,-0.626232,-81.2504,-22.4163
14,7,-1.682898,-0.666992,-108.1510,-37.2522
14,8,-1.638248,-0.718877,-114.4335,-51.4059
14,9,-1.583047,-0.776171,-114.4335,-65.7000
14,10,-1.624379,-0.722269,-114.4335,-75.9152
14,18,-1.632208,-0.720986,62.5692,107.5845
14,19,-1.624220,-0.737743,74.5890,107.5845
14,20,-1.630455,-0.734815,86.3283,107.5845
14,21,-1.619576,-0.719666,102.0346,107.5845
15,5,-0.981283,0.197610,-56.1627,-9.9151
15,6,-0.944789,0.158837,-80.6722,-22.2717
15,7,-0.896887,0.116850,-108.2955,-37.2522
15,8,-0.850928,0.066626,-114.4335,-51.4059
15,9,-0.801703,0.008508,-114.4335,-65.7000
15,10,-0.837138,0.056879,-114.4335,-75.9152
15,18,-0.852934,0.069683,62.5692,107.5845
15,19,-0.836604,0.055437,74.5890,107.5845
15,20,-0.843968,0.056023,86.3283,107.5845
15,21,-0.846354,0.058324,101.9924,107.5845
16,5,-0.196335,0.978580,-27.8177,9.1877
16,6,-0.154328,0.943630,-33.8893,5.9797
16,7,-0.112523,0.895717,-43.0598,2.1433
16,8,-0.065718,0.850448,-56.4309,2.9367
16,9,-0.016255,0.796388,-79.9339,7.9617
16,10,-0.059478,0.842000,-99.0445,12.7667
17,5,0.592442,1.767341,-27.9623,9.3322
17,6,0.627600,1.726474,-34.9013,5.8351
17,7,0.669014,1.686408,-43.2043,2.1433
17,8,0.718877,1.636515,-56.4309,2.9367
17,9,0.775707,1.581359,-79.9339,7.9617
17,10,0.726920,1.623370,-99.0445,12.7667
18,5,1.376880,2.551863,-27.5286,8.8985
18,6,1.417014,2.516168,-34.6121,5.6905
18,7,1.454121,2.469599,-43.3489,2.1433
18,8,1.505747,2.424119,-56.4309,2.9367
18,9,1.562993,2.373211,-79.9339,7.9617
18,10,1.516534,2.425718,-99.0445,12.7667
19,5,2.161210,3.337262,-27.6732,8.4649
19,6,2.197740,3.297423,-34.9013,5.1123
19,7,2.237605,3.259254,-43.3489,1.8541
19,8,2.288738,3.208381,-56.4309,2.9367
19,9,2.338676,3.149309,-79.9339,7.9617
19,10,2.291986,3.141593,-99.0445,12.7667
20,5,2.947895,4.122650,-27.2395,8.7540
20,6,2.987128,4.088700,-34.4194,5.6905
20,7,3.025030,4.046900,-43.2043,2.4324
20,8,3.074136,3.994581,-56.4309,2.9367
20,9,3.137557,3.936894,-79.9339,7.9617
20,10,-3.141551,-2.303736,-99.0445,12.7667
21,5,-2.551854,-1.376037,-27.2395,9.1877
21,6,-2.515440,-1.416331,-34.3230,5.9797
21,7,-2.467268,-1.451990,-43.0598,2.3601
21,8,-2.421445,-1.502805,-56.4309,2.9367
21,9,-2.379827,-1.556089,-79.9339,7.9617
21,10,-2.414413,-1.513196,-99.0445,12.7667
22,5,-1.767131,-0.592442,-27.5286,8.8985
22,6,-1.725398,-0.627456,-34.3230,5.6905
22,7,-1.682703,-0.670227,-43.3489,1.9987
22,8,-1.637117,-0.720348,-56.4309,2.9367
22,9,-1.580131,-0.775655,-79.9339,7.9617
22,10,-1.623370,-0.726354,-95.2492,12.7667
23,5,-0.978438,0.196326,-27.3840,9.1877
23,6,-0.944354,0.154871,-34.0339,5.6905
23,7,-0.896497,0.112043,-43.4935,2.1433
23,8,-0.852120,0.065852,-56.4309,2.9367
23,9,-0.797265,0.016203,-79.9339,7.9617
23,10,-0.838364,0.058034,-99.0445,12.7667
24,5,-0.195435,0.979256,-8.9031,26.4739
24,6,-0.154328,0.943920,-5.6955,34.0304
24,7,-0.110703,0.896107,-2.1461,43.1974
24,8,-0.065852,0.852320,-1.9943,56.8978
24,9,-0.008825,0.795304,-7.0193,76.2247
24,10,-0.061211,0.838046,-11.9811,100.7085
25,5,0.591315,1.766465,-9.0477,27.3802
25,6,0.627311,1.726354,-5.6955,34.3195
25,7,0.665669,1.683288,-2.4352,43.1974
25,8,0.717056,1.636782,-1.9943,56.8978
25,9,0.765100,1.581563,-7.0193,76.2247
25,10,0.725859,1.623370,-11.9811,100.7085
26,5,1.375346,2.551854,-9.0477,26.7631
26,6,1.417134,2.515076,-5.8400,33.8858
26,7,1.452396,2.467463,-2.4352,42.7142
26,8,1.504476,2.422122,-1.9943,56.8978
26,9,1.564593,2.361367,-7.0193,76.2247
26,10,1.517886,2.414009,-11.9811,95.4024
27,5,2.161436,3.335901,-9.4814,27.3802
27,6,2.196079,3.294146,-5.6955,34.3195
27,7,2.238767,3.258331,-2.4352,43.2938
27,8,2.290543,3.209451,-1.9943,56.8978
27,9,2.350381,3.146436,-7.0193,81.4560
27,10,2.304328,3.141593,-11.9811,100.7085
28,5,2.947676,4.122876,-8.7586,27.6694
28,6,2.987537,4.089570,-5.5509,34.6086
28,7,3.024854,4.045722,-2.2906,43.4865
28,8,3.076543,3.994376,-1.9943,56.8978
28,9,3.137910,3.948139,-7.0193,76.2247
28,10,-3.141551,-2.287910,-11.9811,100.7085
29,5,-2.551425,-1.374686,-9.4814,26.6185
29,6,-2.515219,-1.417000,-5.9846,34.1750
29,7,-2.466880,-1.451583,-2.5798,42.7864
29,8,-2.421512,-1.502938,-1.9943,56.8978
29,9,-2.364070,-1.563143,-7.0193,76.2247
29,10,-2.412889,-1.515478,-11.9811,100.7085
30,5,-1.765808,-0.590639,-8.6140,27.9585
30,6,-1.726490,-0.625090,-5.8400,34.3195
30,7,-1.685043,-0.667700,-2.4352,43.1974
30,8,-1.635445,-0.719073,-1.9943,56.8978
30,9,-1.584173,-0.774831,-7.0193,76.2247
30,10,-1.631523,-0.726973,-11.9811,100.7085
31,5,-0.981058,0.194083,-9.0477,26.7631
31,6,-0.947542,0.152554,-5.9846,33.7413
31,7,-0.898641,0.109455,-2.4352,43.3419
31,8,-0.853323,0.064515,-1.9943,56.8978
31,9,-0.796794,0.020640,-7.0193,76.2247
31,10,-0.839518,0.060884,-11.9811,95.4024
32,5,-0.196785,0.978805,10.7281,56.3530
32,6,-0.155421,0.942472,22.5567,80.4539
32,7,-0.112838,0.894698,37.5644,107.0782
32,8,-0.067323,0.851919,51.8728,114.4315
32,9,-0.015997,0.802636,62.0538,114.4315
32,10,-0.057168,0.843049,76.2247,114.4315
32,11,-0.074478,0.858827,62.5692,107.5845
